station_id,station_name,almanac_dt,avg_hi,avg_lo,record_hi,record_hi_yr,record_lo,record_lo_yr,mean_temp,avg_precip,avg_snow,record_period
UKAA0014,Greenwich,0101,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0102,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0103,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0104,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0105,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0106,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0107,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0108,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0109,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0110,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0111,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0112,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0113,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0114,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0115,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0116,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0117,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0118,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0119,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0120,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0121,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0122,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0123,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0124,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0125,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0126,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0127,7.8,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0128,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0129,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0130,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0131,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0201,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0202,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0203,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0204,8.3,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0205,8.9,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0206,8.9,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0207,8.9,2.2,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0208,8.9,2.8,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0209,8.9,2.8,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0210,8.9,2.8,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0211,9.4,2.8,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0212,9.4,2.8,None,None,None,None,None,None,None,None
UKAA0014,Greenwich,0213,9.4,2.8,None,None,None,None,None,None,None,None
